ais_ocean_temperature₀,antarctic_alpha,antarctic_nu,antarctic_temp_threshold,anto_alpha,anto_beta,greenland_a,greenland_b,greenland_alpha,greenland_beta,greenland_v0,thermal_alpha,gic_a,gic_b,gic_T_lia,gic_f,gic_tau_fast,gic_tau_slow,sd_ais,rho_ais,sd_gsic,rho_gsic,sd_gis,rho_gis,sd_steric,rho_steric,sd_dang,rho_dang
0.6867079769732094,0.3173352807587336,0.0056675589635181885,-15.234364920384403,0.430374793101959,0.27091197640656545,-0.009363584632377228,6.582051039699674,1.1428215198078165e-5,0.0005480669644230829,7.360029911349212,0.1626441496065484,0.3464667322591796,0.9328263370166673,-0.9879686087974583,0.5739412259709645,42.429106094960154,429.5258462593038,0.01585576054760466,0.9215863290774274,0.036917408016517904,0.9875985319815743,0.15164494364137526,0.7138065422592148,0.11189685778900721,0.880822145422936,0.08794639040939971,0.9665512552687366
0.6375536045914357,0.30386948628218374,0.0055890143113362075,-15.037874060282531,0.4228482972625846,0.22390948795111926,-0.04090794252876156,6.704261989222569,6.03727133816076e-6,0.0006036034613976816,7.382500855395293,0.1660900294079185,0.3329188521889805,0.9721850459838645,-0.9970841429797069,0.6923050208303485,53.350868634251164,597.3543942372237,0.017261520301656053,0.9274838812855039,0.030432171632177846,0.9811496905485291,0.16255583145789798,0.7177117309460627,0.1196866108984891,0.8866480761917491,0.042134989677599134,0.9317704042145366
0.7551854502896848,0.3134854923560523,0.0048963519104137,-15.169150936473653,0.4374786362416353,0.33286151033585176,-0.05732130902781091,6.923739560698431,5.2936845932898125e-6,0.0006989759138936303,7.509379306846809,0.16044523950062173,0.3253096927197654,0.9749128490158938,-0.955147347354505,0.7545408646798972,50.24780363663531,567.6350372998197,0.012253065774579236,0.9265986791129829,0.046329223237653,0.9808473763197085,0.15148606913798104,0.7303161256371168,0.1235233451296734,0.8881822609065196,0.12867773686266326,0.9769254674693891
0.9533462040091677,0.3250629720983723,0.004198853236890692,-15.492218902360532,0.47713665187227555,0.5116727122677769,-0.07856986363915774,6.933485948572703,7.252219611463157e-6,0.0006587305031368123,7.5227883279843635,0.16049408619838743,0.34171551781205023,0.9342837500604957,-0.9315088746676504,0.6579936540813341,42.11627009906499,516.4439766870919,0.006016976054172626,0.9344499085270561,0.04988415418872692,0.9871965868625792,0.1581247600055924,0.7260782658336488,0.12613279512581294,0.8806276060084609,0.1010717017254998,0.977536944722857
0.8220836594489384,0.353891597529569,0.004359814470584401,-15.60101187502544,0.4421201773091039,0.42718212733304245,-0.02556856013669921,6.703166173796631,3.742535818710572e-6,0.0006102949887274728,7.353762404355856,0.1629068968581172,0.37114137627870475,0.9539434731970494,-0.9866967437930177,0.503947414885499,45.52024293856855,507.3356670376846,0.010529551781474883,0.9327991669004707,0.03937151734155992,0.9712863238283598,0.1367469713994069,0.7234724873423496,0.14917788300649246,0.8837847766349407,0.14151822456160085,0.9461956988859312
0.5952929096053416,0.33573791361446653,0.004549807641485491,-15.707997564741492,0.41020465936864864,0.2199288272581672,-0.04243467126921976,6.6829467731633185,1.475973196479829e-5,0.0006407187513736602,7.300329481685608,0.16525283987012254,0.3351093374134014,0.9475547184238594,-0.9597024228590376,0.7113236469979995,43.39935616368357,664.128058338943,0.009752192674277363,0.933426541514168,0.03574450082216849,0.9579186779887707,0.15312022474731612,0.7244658894314934,0.13826913269009525,0.9017524009876705,0.189943732835942,0.965331008795207
1.0596594480181665,0.3232119912021984,0.005311978747927492,-15.555247102497212,0.47864305903940496,0.6083825354160411,-0.05420871623481331,6.790734228617478,5.543632514440718e-5,0.0006957759700951568,7.368237104369111,0.1689866575511604,0.32356530357864044,0.9645694856820781,-0.9776793170761598,0.7638974271376479,42.79714490623858,660.9610157331367,0.011655595334944993,0.932980962895183,0.04478090948482538,0.9625066736091797,0.1558809519067888,0.7222466289160707,0.1032444731296741,0.935615494215487,0.18454979007100433,0.932031402546199
0.7384053612508208,0.3167154926639499,0.003731903800114621,-15.703595316491104,0.48150455340019366,0.32183918619903795,-0.009478619455813356,6.807330055433033,1.4460826977956e-5,0.0007004467769619713,7.406883138521939,0.1673573824175226,0.32528542879184297,0.9090568304762583,-0.9482937735747885,0.6986762003816012,46.56483596612958,617.5216493802649,0.0006744802980573877,0.9263415648258332,0.04988241091764804,0.9514566943049846,0.1564164288925997,0.7192409654536162,0.09827863789186979,0.9307236695243015,0.16639155319888246,0.951818585856454
0.6408705007025955,0.3054393016201388,0.004112312599128091,-15.59323608170073,0.4538953121864258,0.2277946800678745,-0.007695564185116865,6.891457028213561,3.1975770325249746e-5,0.0007917072390632324,7.441278977413481,0.17686488191482574,0.33007765746250556,0.9564573729088983,-0.9133578818263689,0.6347110819575029,47.55862330945888,484.96491639254623,0.0049531122961319,0.9227946633302487,0.048852163775583164,0.9388597661308239,0.15564855857999418,0.7209060771363616,0.09611158086524102,0.9590916612364143,0.06400763023555521,0.9775321090349046
0.5642103495431255,0.3011044239987815,0.0034745149841835274,-14.934034667417256,0.47216920871041373,0.1518020424715766,-0.01399543255720083,6.877288374737808,2.3119950254715556e-6,0.0007929915718146168,7.423952549221186,0.16432867071894935,0.34175235021830824,0.918598361563639,-0.9760899067893886,0.6546928508580525,48.79200275890864,562.7612323176702,0.0018859508130543638,0.911762282750468,0.04119022831248087,0.9471481125377819,0.16458048074651746,0.7204215879114214,0.105801210984388,0.9494805305631452,0.059705982566189836,0.9359632134756735
